Title,Author,Database
"Proceedings - 2020 IEEE 6th Intl Conference on Big Data Security on Cloud, BigDataSecurity 2020, 2020 IEEE Intl Conference on High Performance and Smart Computing, HPSC 2020 and 2020 IEEE Intl Conference on Intelligent Data and Security, IDS 2020",[No author name available],Scopus
Federated learning on distributed medical records for detection of lung nodules,"Baheti, P., Sikka, M., Arya, K.V., Rajesh, R.",Scopus
"Blockchains Technology Analysis: Applications, Current Trends and Future Directions—An Overview","Junejo, A.Z., Memon, M.M., Junejo, M.A., Talpur, S., Memon, R.M.",Scopus
A Security-Oriented Architecture for Federated Learning in Cloud Environments,"Marulli, F., Bellini, E., Marrone, S.",Scopus
Intelligent Eco Networking (IEN): Knowledge-Driven and Value-Oriented Future Internet Infrastructure [智能生态网络:知识驱动的未来价值互联网基础设施],"Lei, K., Huang, S., Fang, J., Huang, J., Xie, Y., Peng, B.",Scopus
"18th International Conference on Practical Applications of Agents and Multi-Agent Systems, PAAMS 2020",[No author name available],Scopus
Blockfedml: Blockchained federated machine learning systems,"Wang, S.",Scopus
Poster: A reliable and accountable privacy-preserving federated learning framework using the blockchain,"Awan, S., Li, F., Luo, B., Liu, M.",Scopus
Record and reward federated learning contributions with blockchain,"Martinez, I., Francis, S., Hafid, A.S.",Scopus
Training Encrypted Models with Privacy-preserved Data on Blockchain,"Liu, L., Hu, Y., Yu, J., Zhang, F., Huang, G., Xiao, J., Wu, C.",Scopus
Towards federated learning approach to determine data relevance in big data,"Doku, R., Rawat, D.B., Liu, C.",Scopus
Ownership preserving AI market places using blockchain,"Baranwal Somy, N., Kannan, K., Arya, V., Hans, S., Singh, A., Lohia, P., Mehta, S.",Scopus
Blockchain-based privacy preserving deep learning,"Zhu, X., Li, H., Yu, Y.",Scopus
Machine learning for all: A more robust federated learning framework,"Ilias, C., Georgios, S.",Scopus
Enabling multi-party consensual data exchange through blockchain,"Hickey, J., O'Reilly, R.",Scopus
Transform blockchain into distributed parallel computing architecture for precision medicine,"Shae, Z., Tsai, J.J.P.",Scopus
